"Carimbo de data/hora","Gênero","Idade","Ocupação","Grau de escolaridade","Você consome café?","Razões pelas quais você não consome café","Quais atributos você observa na compra?","Qual sua forma preferida de consumir café?","Você julga possuir conhecimento avançado sobre café ? (conhecimento sobre as fases do café, diferenciar tonalidades de sabor e aroma, combinar sabores, etc.)","Em  qual (quais) período(s) você consome café?","Qual a quantidade de xícaras de café que você geralmente consome por dia?","Principal local de consumo","Em que tipo de loja você compra seu café?","Qual a intensidade ideal para cada uma dessas características ? [Aroma]","Qual a intensidade ideal para cada uma dessas características ? [Sabor]","Qual a intensidade ideal para cada uma dessas características ? [Cor]","Qual a intensidade ideal para cada uma dessas características ? [Suavidade]","Qual a intensidade ideal para cada uma dessas características ? [Doçura]","Consumo café por hábito ","Consumo café pelo gosto/aroma","Considero que o ato de beber café representa status","Consumo café por prazer ","Consumo café para relaxar","Consumo  café para ter disposição para trabalho ou estudo","Consumo café no intervalo do trabalho ou estudo","Consumo café para interagir com amigos","Associo o consumo de café com o ato de fumar ","Considero importante a presença de certificação de produto orgânico ","Considero importante a presença de  certificação de origem sustentável","Considero importante a presença de  certificação de Fair Trade (comércio justo)"
"2022/06/22 5:01:06 PM GMT-3","Masculino","Entre 18 e 24","Funcionário(a) de empresa privada","Superior Completo","Sim","","Marca;Qualidade;Preço","Café com leite","Não","Manhã;Antes do almoço;Após o almoço;A tarde","4","Em casa","Varejo comum","Moderadamente forte","Muito forte","Neutro","Muito forte","Muito fraco","5","1","5","1","5","1","1","5","5","5","5","5"
"2022/06/22 5:05:09 PM GMT-3","Feminino","Entre 31 e 40","Funcionário(a) de empresa privada","Superior Incompleto","Sim","","Marca;Preço;Embalagem","Coado/ filtrado","Não","Manhã","1","Em casa","Varejo comum","Moderadamente forte","Moderadamente forte","Moderadamente forte","Neutro","Neutro","1","1","4","2","2","4","5","5","5","5","5","5"
"2022/06/22 5:06:52 PM GMT-3","Feminino","Entre 25 e 30","Funcionário(a) de empresa privada","Pós-graduação completa","Sim","","Marca;Qualidade;Preço","Coado/ filtrado","Não","Manhã;Antes do almoço;Após o almoço;A tarde","Mais de 5","Em casa","Varejo comum","Moderadamente forte","Moderadamente forte","Moderadamente forte","Neutro","Neutro","3","1","5","1","1","1","1","1","5","3","3","3"
"2022/06/22 5:08:50 PM GMT-3","Feminino","Entre 25 e 30","Funcionário(a) de empresa privada","2º grau completo","Sim","","Qualidade;Preço;Selo de Qualidade;Local de Origem","Coado/ filtrado","Não","Manhã;Antes do almoço;Após o almoço;A tarde","4","Em casa","Varejo comum","Moderadamente forte","Moderadamente forte","Neutro","Moderadamente forte","Moderadamente fraco","1","1","1","1","1","5","1","1","5","1","1","1"
"2022/06/22 5:13:34 PM GMT-3","Feminino","Entre 18 e 24","Funcionário(a) de empresa privada","Superior Completo","Não","Não gosto do sabor/aroma","","","","","","","","","","","","","","","","","","","","","","","",""
"2022/06/22 5:34:33 PM GMT-3","Masculino","Entre 31 e 40","Funcionário(a) de empresa privada","Superior Completo","Sim","","Marca;Qualidade;Preço","Expresso","Não","Manhã;Antes do almoço;Após o almoço;A tarde;Noite","4","Em casa","Varejo especializado","Moderadamente forte","Moderadamente forte","Moderadamente forte","Neutro","Muito fraco","1","2","4","1","1","4","1","1","5","5","5","5"
"2022/06/22 5:59:07 PM GMT-3","Masculino","Entre 18 e 24","Estudante","Superior Incompleto","Sim","","Marca;Qualidade;Preço;Embalagem","Coado/ filtrado","Não","Manhã;A tarde","2","Em casa","Varejo comum","Muito forte","Moderadamente forte","Moderadamente forte","Neutro","Muito fraco","2","1","5","1","1","1","4","3","5","3","3","3"
"2022/06/22 6:00:55 PM GMT-3","Masculino","Entre 31 e 40","Funcionário(a) de empresa privada","Pós-graduação incompleta","Sim","","Marca;Preço;Local de consumo","Coado/ filtrado","Não","Manhã;Antes do almoço;Após o almoço;A tarde","3","Em casa","Varejo comum","Neutro","Moderadamente forte","Neutro","Neutro","Muito fraco","5","5","1","4","1","5","1","1","1","1","1","1"
"2022/06/22 6:03:22 PM GMT-3","Feminino","Entre 25 e 30","Funcionário(a) de empresa privada","Superior Incompleto","Sim","","Marca;Qualidade;Preço;Embalagem;Local de Origem","Outro","Sim","Manhã;Após o almoço;A tarde","1","Em padarias","Varejo especializado","Moderadamente forte","Moderadamente forte","Moderadamente forte","Neutro","Moderadamente forte","2","1","5","1","1","1","1","3","2","4","2","2"
"2022/06/22 6:04:08 PM GMT-3","Feminino","Entre 18 e 24","Estudante","Superior Incompleto","Não","Não consumo pois acredito que faça mal à saúde;Outros motivos","","","","","","","","","","","","","","","","","","","","","","","",""
"2022/06/22 6:10:21 PM GMT-3","Feminino","Entre 31 e 40","Funcionário(a) de empresa privada","Superior Completo","Sim","","Qualidade","Coado/ filtrado","Não","Manhã","1","Em casa","Varejo comum","Moderadamente forte","Moderadamente forte","Moderadamente forte","Muito fraco","Muito fraco","5","1","4","1","5","1","5","5","5","5","5","5"
"2022/06/22 6:12:48 PM GMT-3","Feminino","Entre 25 e 30","Desempregado(a)","2º grau completo","Sim","","Marca;Qualidade;Preço;Embalagem","Coado/ filtrado","Não","Manhã;A tarde","2","Em casa","Varejo comum","Moderadamente forte","Moderadamente forte","Moderadamente forte","Moderadamente forte","Moderadamente forte","2","3","3","4","1","5","3","5","1","5","3","4"
"2022/06/22 6:23:21 PM GMT-3","Feminino","Entre 41 e 50","Funcionário(a) de empresa privada","Superior Incompleto","Sim","","Qualidade","Coado/ filtrado","Não","Manhã;Após o almoço;A tarde","3","Em casa","Varejo comum","Moderadamente forte","Moderadamente forte","Moderadamente forte","Moderadamente forte","Moderadamente forte","3","1","4","1","2","1","2","2","5","4","4","4"
"2022/06/22 6:26:32 PM GMT-3","Masculino","Entre 18 e 24","Funcionário(a) de empresa privada","2º grau completo","Não","Não gosto do sabor/aroma","","","","","","","","","","","","","","","","","","","","","","","",""
"2022/06/22 6:27:36 PM GMT-3","Masculino","Entre 31 e 40","Funcionário(a) de empresa privada","Superior Completo","Sim","","Marca;Qualidade;Preço;Propaganda","Café de Capsula","Não","Manhã;Após o almoço;A tarde","3","Em casa","Varejo comum","Moderadamente forte","Muito forte","Neutro","Neutro","Neutro","3","2","4","2","2","2","4","5","5","3","3","3"
"2022/06/22 6:29:57 PM GMT-3","Masculino","Entre 18 e 24","Estagiário(a)","Superior Incompleto","Sim","","Qualidade;Selo de Qualidade;Local de Origem","Expresso","Não","Manhã;Após o almoço;A tarde","Mais de 5","Em casa","Varejo comum","Moderadamente forte","Muito forte","Neutro","Neutro","Moderadamente fraco","1","2","5","1","4","2","2","3","5","1","1","1"
"2022/06/22 6:33:36 PM GMT-3","Masculino","Entre 25 e 30","Estagiário(a)","Superior Incompleto","Sim","","Marca;Qualidade;Preço;Embalagem","Café americano","Não","Manhã;Antes do almoço;Após o almoço;A tarde","4","No trabalho","Varejo comum","Moderadamente forte","Moderadamente forte","Moderadamente forte","Neutro","Moderadamente fraco","1","2","5","2","2","3","1","4","5","5","5","5"
"2022/06/22 6:44:06 PM GMT-3","Feminino","Entre 18 e 24","Estudante","Superior Incompleto","Não","Não gosto do sabor/aroma","","","","","","","","","","","","","","","","","","","","","","","",""
"2022/06/22 6:51:48 PM GMT-3","Masculino","Entre 18 e 24","Estagiário(a)","Superior Incompleto","Sim","","Preço","Coado/ filtrado","Não","Manhã;Após o almoço;A tarde","2","No trabalho","Varejo comum","Muito forte","Moderadamente forte","Muito forte","Neutro","Muito fraco","1","3","5","3","5","1","1","5","4","5","5","5"
"2022/06/22 7:07:11 PM GMT-3","Feminino","Entre 31 e 40","Funcionário(a) de empresa privada","2º grau completo","Sim","","Marca;Qualidade;Preço;Selo de Qualidade","Café com leite","Não","Manhã;A tarde","2","Em casa","Varejo comum","Moderadamente forte","Moderadamente forte","Moderadamente forte","Moderadamente forte","Neutro","1","3","5","2","5","5","5","5","5","1","1","1"
"2022/06/22 7:07:36 PM GMT-3","Feminino","Menor de 18 anos","Estudante","2º grau incompleto","Não","Não gosto do sabor residual","","","","","","","","","","","","","","","","","","","","","","","",""
"2022/06/22 7:10:16 PM GMT-3","Feminino","Entre 18 e 24","Estagiário(a)","2º grau completo","Sim","","Marca;Qualidade","Mocca","Não","A tarde","1","Em redes de cafeteria (e.g Starbucks)","Varejo comum","Moderadamente forte","Neutro","Neutro","Moderadamente fraco","Moderadamente fraco","4","2","4","1","2","3","2","3","5","5","5","5"
"2022/06/22 8:22:35 PM GMT-3","Feminino","Entre 18 e 24","Estagiário(a)","Superior Incompleto","Sim","","Marca;Preço;Propaganda;Embalagem","Café de Capsula","Não","Manhã;Antes do almoço;Após o almoço","2","Em casa","Varejo especializado","Moderadamente forte","Moderadamente forte","Moderadamente forte","Neutro","Moderadamente fraco","2","3","2","2","5","1","2","3","5","4","2","3"
"2022/06/22 9:44:03 PM GMT-3","Masculino","Entre 18 e 24","Estagiário(a)","Superior Incompleto","Sim","","Marca;Qualidade;Preço;Embalagem;Selo de Qualidade;Local de Origem","Cappuccino","Não","Manhã","2","Em redes de cafeteria (e.g Starbucks)","Varejo comum","Moderadamente forte","Neutro","Moderadamente fraco","Moderadamente forte","Moderadamente fraco","4","2","3","1","2","2","2","5","5","2","2","2"
"2022/06/23 6:15:02 AM GMT-3","Feminino","Entre 25 e 30","Funcionário(a) de empresa privada","Pós-graduação completa","Sim","","Marca;Qualidade","Coado/ filtrado","Não","Manhã;A tarde","2","Em casa","Varejo comum","Muito forte","Moderadamente forte","Moderadamente forte","Moderadamente fraco","Moderadamente fraco","1","1","5","1","1","2","1","5","5","5","5","5"
"2022/06/23 6:16:24 AM GMT-3","Feminino","Entre 25 e 30","Funcionário(a) de empresa privada","Pós-graduação incompleta","Sim","","Marca;Qualidade;Preço","Café com leite","Não","Manhã;A tarde","3","Em casa","Varejo comum","Moderadamente forte","Moderadamente forte","Moderadamente forte","Neutro","Neutro","3","1","4","2","2","1","3","3","5","4","4","4"
"2022/06/23 9:28:51 AM GMT-3","Feminino","Entre 25 e 30","Funcionário(a) de empresa privada","Superior Completo","Sim","","Marca;Preço","Café com leite","Não","Manhã","2","Em casa","Varejo comum","Moderadamente forte","Moderadamente forte","Muito forte","Neutro","Neutro","1","2","5","1","2","3","1","2","5","3","3","3"
"2022/06/23 9:35:31 AM GMT-3","Masculino","Entre 25 e 30","Funcionário(a) de empresa privada","Superior Completo","Sim","","Qualidade;Preço;Embalagem","Cappuccino","Não","Manhã;Após o almoço;A tarde","3","No trabalho","Varejo comum","Moderadamente forte","Moderadamente forte","Neutro","Neutro","Neutro","2","3","3","2","4","1","1","2","5","2","3","3"
"2022/06/23 9:40:34 AM GMT-3","Feminino","Entre 18 e 24","Estagiário(a)","Superior Incompleto","Não","Não gosto do sabor/aroma;Não gosto do sabor residual;Não consumo por falta de hábito;Outros motivos","","","","","","","","","","","","","","","","","","","","","","","",""
"2022/06/23 10:34:42 AM GMT-3","Masculino","Entre 31 e 40","Funcionário(a) de empresa privada","Superior Completo","Sim","","Marca;Qualidade","Expresso","Sim","Manhã;Após o almoço","3","Em casa","Varejo comum","Moderadamente forte","Moderadamente forte","Neutro","Neutro","Muito fraco","2","1","3","1","2","2","3","2","5","2","2","3"
"2022/06/23 2:17:12 PM GMT-3","Masculino","Entre 31 e 40","Outra","Pós-graduação completa","Sim","","Marca;Qualidade;Preço;Local de Origem","Coado/ filtrado","Sim","Manhã;Antes do almoço;Após o almoço;A tarde","Mais de 5","Em casa","Varejo comum","Muito forte","Moderadamente forte","Moderadamente forte","Neutro","Neutro","1","1","5","1","2","1","2","2","5","5","5","5"
"2022/06/23 4:26:07 PM GMT-3","Feminino","Entre 18 e 24","Funcionário(a) de empresa privada","Superior Incompleto","Sim","","Marca;Preço;Local de Origem","Mocca","Não","Manhã;Noite","1","Em redes de cafeteria (e.g Starbucks)","Varejo comum","Moderadamente forte","Moderadamente fraco","Neutro","Muito forte","Neutro","4","2","3","2","4","2","2","2","5","5","5","5"
"2022/06/23 5:41:57 PM GMT-3","Masculino","Entre 31 e 40","Funcionário(a) de empresa privada","Superior Incompleto","Sim","","Qualidade;Embalagem;Selo de Qualidade;Local de Origem","Expresso","Sim","Manhã;Antes do almoço;Após o almoço;A tarde;Noite","Mais de 5","No trabalho","Varejo especializado","Muito forte","Moderadamente forte","Neutro","Neutro","Neutro","2","1","5","1","1","2","2","2","5","3","2","2"
"2022/06/23 5:55:41 PM GMT-3","Feminino","Entre 25 e 30","Funcionário(a) de empresa privada","Superior Incompleto","Sim","","Marca;Qualidade;Preço;Embalagem","Cappuccino","Não","Manhã;Antes do almoço;Após o almoço;A tarde","5","Em casa","Varejo comum","Muito forte","Moderadamente forte","Moderadamente forte","Neutro","Muito fraco","1","1","4","1","4","2","2","5","2","3","2","4"
"2022/06/24 9:55:32 AM GMT-3","Feminino","Entre 18 e 24","Funcionário(a) de empresa privada","2º grau completo","Sim","","Qualidade;Preço","Cappuccino","Não","Manhã;Noite","2","Em casa","Varejo comum","Moderadamente forte","Neutro","Moderadamente forte","Neutro","Neutro","5","1","3","1","2","4","5","5","5","3","3","3"
