Gênero,Idade,Ocupação,escolaridade,consumo_café,forma_preferida_consumo,conhecimento_avançado,qnt_xícaras,local_consumo,tipo_varejo,grau_aroma,grau_sabor,grau_cor,grau_suavidade,grau_doçura,café_por_habito,café_pelo_gosto_aroma,café_status,café_por_prazer,café_para_relaxar,café_para_disposição,café_nos_intervalos,café_para_interagir,café_fumar,importância_orgânico,importância_sustentavel,importância_FairTrade,atributos_compra_Marca,atributos_compra_Qualidade,atributos_compra_Preço,atributos_compra_Propaganda,atributos_compra_Embalagem,atributos_compra_Local_consumo,atributos_compra_selo_quali,atributos_compra_origem,periodos_consumo_manhã,periodos_consumo_tarde,periodos_consumo_antes_almoço,periodos_consumo_depois_almoço,periodos_consumo_noite
Feminino,Entre 31 e 40,Funcionário(a) de empresa privada,2º grau completo,Sim,Café com leite,Não,2,Em casa,Varejo comum,Moderadamente forte,Moderadamente forte,Moderadamente forte,Moderadamente forte,Neutro,1.0,3.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,True,True,True,False,False,False,True,False,True,True,False,False,False
Feminino,Entre 18 e 24,Estagiário(a),2º grau completo,Sim,Mocca,Não,1,Em redes de cafeteria (e.g Starbucks),Varejo comum,Moderadamente forte,Neutro,Neutro,Moderadamente fraco,Moderadamente fraco,4.0,2.0,4.0,1.0,2.0,3.0,2.0,3.0,5.0,5.0,5.0,5.0,True,True,False,False,False,False,False,False,False,True,False,False,False
Feminino,Entre 18 e 24,Estagiário(a),Superior Incompleto,Sim,Café de Capsula,Não,2,Em casa,Varejo especializado,Moderadamente forte,Moderadamente forte,Moderadamente forte,Neutro,Moderadamente fraco,2.0,3.0,2.0,2.0,5.0,1.0,2.0,3.0,5.0,4.0,2.0,3.0,True,False,True,True,True,False,False,False,True,False,True,True,False
Masculino,Entre 18 e 24,Estagiário(a),Superior Incompleto,Sim,Cappuccino,Não,2,Em redes de cafeteria (e.g Starbucks),Varejo comum,Moderadamente forte,Neutro,Moderadamente fraco,Moderadamente forte,Moderadamente fraco,4.0,2.0,3.0,1.0,2.0,2.0,2.0,5.0,5.0,2.0,2.0,2.0,True,True,True,False,True,False,True,True,True,False,False,False,False
Feminino,Entre 25 e 30,Funcionário(a) de empresa privada,Pós-graduação completa,Sim,Coado/ filtrado,Não,2,Em casa,Varejo comum,Muito forte,Moderadamente forte,Moderadamente forte,Moderadamente fraco,Moderadamente fraco,1.0,1.0,5.0,1.0,1.0,2.0,1.0,5.0,5.0,5.0,5.0,5.0,True,True,False,False,False,False,False,False,True,True,False,False,False
Feminino,Entre 25 e 30,Funcionário(a) de empresa privada,Pós-graduação incompleta,Sim,Café com leite,Não,3,Em casa,Varejo comum,Moderadamente forte,Moderadamente forte,Moderadamente forte,Neutro,Neutro,3.0,1.0,4.0,2.0,2.0,1.0,3.0,3.0,5.0,4.0,4.0,4.0,True,True,True,False,False,False,False,False,True,True,False,False,False
Feminino,Entre 25 e 30,Funcionário(a) de empresa privada,Superior Completo,Sim,Café com leite,Não,2,Em casa,Varejo comum,Moderadamente forte,Moderadamente forte,Muito forte,Neutro,Neutro,1.0,2.0,5.0,1.0,2.0,3.0,1.0,2.0,5.0,3.0,3.0,3.0,True,False,True,False,False,False,False,False,True,False,False,False,False
Masculino,Entre 25 e 30,Funcionário(a) de empresa privada,Superior Completo,Sim,Cappuccino,Não,3,No trabalho,Varejo comum,Moderadamente forte,Moderadamente forte,Neutro,Neutro,Neutro,2.0,3.0,3.0,2.0,4.0,1.0,1.0,2.0,5.0,2.0,3.0,3.0,False,True,True,False,True,False,False,False,True,True,False,True,False
Masculino,Entre 31 e 40,Funcionário(a) de empresa privada,Superior Completo,Sim,Expresso,Sim,3,Em casa,Varejo comum,Moderadamente forte,Moderadamente forte,Neutro,Neutro,Muito fraco,2.0,1.0,3.0,1.0,2.0,2.0,3.0,2.0,5.0,2.0,2.0,3.0,True,True,False,False,False,False,False,False,True,False,False,True,False
Masculino,Entre 31 e 40,Outra,Pós-graduação completa,Sim,Coado/ filtrado,Sim,Mais de 5,Em casa,Varejo comum,Muito forte,Moderadamente forte,Moderadamente forte,Neutro,Neutro,1.0,1.0,5.0,1.0,2.0,1.0,2.0,2.0,5.0,5.0,5.0,5.0,True,True,True,False,False,False,False,True,True,True,True,True,False
Feminino,Entre 18 e 24,Funcionário(a) de empresa privada,Superior Incompleto,Sim,Mocca,Não,1,Em redes de cafeteria (e.g Starbucks),Varejo comum,Moderadamente forte,Moderadamente fraco,Neutro,Muito forte,Neutro,4.0,2.0,3.0,2.0,4.0,2.0,2.0,2.0,5.0,5.0,5.0,5.0,True,False,True,False,False,False,False,True,True,False,False,False,True
Masculino,Entre 31 e 40,Funcionário(a) de empresa privada,Superior Incompleto,Sim,Expresso,Sim,Mais de 5,No trabalho,Varejo especializado,Muito forte,Moderadamente forte,Neutro,Neutro,Neutro,2.0,1.0,5.0,1.0,1.0,2.0,2.0,2.0,5.0,3.0,2.0,2.0,False,True,False,False,True,False,True,True,True,True,True,True,True
Feminino,Entre 25 e 30,Funcionário(a) de empresa privada,Superior Incompleto,Sim,Cappuccino,Não,5,Em casa,Varejo comum,Muito forte,Moderadamente forte,Moderadamente forte,Neutro,Muito fraco,1.0,1.0,4.0,1.0,4.0,2.0,2.0,5.0,2.0,3.0,2.0,4.0,True,True,True,False,True,False,False,False,True,True,True,True,False
Feminino,Entre 18 e 24,Funcionário(a) de empresa privada,2º grau completo,Sim,Cappuccino,Não,2,Em casa,Varejo comum,Moderadamente forte,Neutro,Moderadamente forte,Neutro,Neutro,5.0,1.0,3.0,1.0,2.0,4.0,5.0,5.0,5.0,3.0,3.0,3.0,False,True,True,False,False,False,False,False,True,False,False,False,True
